event_id,organizer_id,event_create_date,event_publish_date,event_start_date,event_currency,is_listed,event_paid_type,event_capacity,event_category,event_country
51228425,408986455,2014-01-21,2014-01-21,2014-01-21,USD,public,free event,180.0,,US
51240755,229166345,2014-01-21,2014-01-21,2014-03-07,USD,public,free event,17.0,,US
51240965,427406175,2014-01-21,2014-01-21,2014-02-22,USD,public,paid event,60.0,,US
51254335,321088055,2014-01-21,2014-11-18,2014-12-02,USD,private,free event,20.0,,US
51301105,116352640,2014-01-22,2014-01-22,2014-02-24,GBP,public,free event,20.0,,GB
51304725,390074795,2014-01-22,2014-01-23,2014-03-14,GBP,public,free event,60.0,,GB
51321655,196502410,2014-01-22,2014-01-22,2014-04-01,GBP,public,free event,100.0,,GB
51348895,274396645,2014-01-22,2014-01-23,2014-01-28,USD,private,free event,45.0,,US
51366325,417790930,2014-01-22,2014-01-22,2014-02-18,EUR,public,free event,180.0,Family & Education,ES
51382065,432369175,2014-01-22,2014-01-23,2015-07-25,USD,private,free event,150.0,,US
51416325,239697750,2014-01-23,2014-01-23,2014-03-15,USD,public,paid event,150.0,,US
51418085,270285350,2014-01-23,2014-01-23,2014-04-26,USD,public,paid event,149.0,,US
51419185,258527120,2014-01-23,2014-01-23,2014-02-21,USD,public,free event,60.0,,US
51423885,264139770,2014-01-23,2014-01-23,2014-05-09,USD,public,paid event,10.0,,
51452465,308395,2014-01-23,2014-01-23,2014-01-28,USD,public,paid event,100.0,Travel & Outdoor,US
51453015,152126315,2014-01-23,2014-01-23,2014-01-30,USD,public,paid event,150.0,,
51460745,47448565,2014-01-23,2014-01-23,2014-02-01,USD,public,paid event,100.0,,US
51464335,9789670,2014-01-23,2014-01-23,2014-02-15,USD,public,paid event,169.0,Performing & Visual Arts,US
51475665,176650670,2014-01-23,2014-01-23,2014-04-04,USD,public,paid event,1000.0,,US
51476075,300694135,2014-01-23,2014-01-23,2014-02-12,AUD,public,free event,50.0,,AU
51487845,345073455,2014-01-23,2016-01-25,2016-02-19,USD,private,paid event,20.0,,US
51538275,285091955,2014-01-24,2014-01-24,2014-06-07,USD,public,paid event,360.0,Travel & Outdoor,US
51546555,433510145,2014-01-24,2014-01-31,2014-02-15,USD,public,free event,12.0,Sports & Fitness,US
51621535,431553175,2014-01-26,2014-01-26,2014-02-05,USD,public,free event,1000.0,Business & Professional,GB
51672275,12090190,2014-01-26,2014-02-04,2014-04-05,USD,public,paid event,100.0,,US
51765385,160661085,2014-01-27,2014-01-27,2014-02-27,USD,public,free event,1000.0,,
51781025,435008255,2014-01-27,2014-01-27,2014-03-03,USD,private,free event,15.0,,
51782545,409919635,2014-01-27,2014-02-05,2014-02-25,GBP,public,free event,52.0,Business & Professional,GB
51804535,206921440,2014-01-28,2014-01-28,2014-03-06,USD,private,free event,15.0,,
51814345,103723180,2014-01-28,2014-01-28,2014-03-04,USD,public,free event,1000.0,,US
51865655,435604155,2014-01-29,2014-01-29,2014-02-26,AUD,private,free event,60.0,,AU
51889785,435772315,2014-01-29,2014-01-29,2014-02-20,GBP,public,free event,100.0,Business & Professional,GB
51897085,389256965,2014-01-29,2014-01-29,2014-02-23,GBP,public,free event,21.0,,GB
51962275,15793605,2014-01-29,2014-01-29,2014-01-31,USD,public,free event,300.0,Film & Media & Entertainment,US
51968835,436313775,2014-01-29,2014-01-29,2014-02-11,USD,public,free event,75.0,,US
51982305,69542605,2014-01-30,2014-01-30,2014-02-23,USD,public,paid event,1104.0,Music,US
52000285,420040635,2014-01-30,2014-02-19,2014-04-08,USD,public,free event,8.0,,US
52023905,253812600,2014-01-30,2014-01-30,2014-03-15,USD,public,paid event,1000.0,Charity & Causes,US
52044365,5499205,2014-01-30,2014-01-30,2014-02-11,USD,public,free event,20.0,,US
52059095,348431605,2014-01-30,2014-01-30,2014-03-11,AUD,public,paid event,20.0,,
52097355,204825270,2014-01-31,2014-01-31,2014-02-21,USD,private,free event,200.0,,
52098595,277002835,2014-01-31,2014-01-31,2014-03-15,USD,public,paid event,75.0,,
52116835,431144825,2014-01-31,2014-02-06,2014-03-03,GBP,private,free event,26.0,,GB
52117385,303310485,2014-01-31,2014-01-31,2014-03-19,USD,private,free event,460.0,,
52122845,20822675,2014-01-31,2014-01-31,2014-12-06,USD,public,paid event,10.0,Music,US
52122885,64419655,2014-01-31,2014-01-31,2014-02-07,USD,public,free event,75.0,Business & Professional,US
52131275,417216760,2014-01-31,2014-02-04,2014-03-12,USD,public,paid event,20.0,,US
52137065,437495875,2014-01-31,2014-02-06,2014-02-25,USD,private,free event,250.0,,US
52142285,92107305,2014-01-31,2014-01-31,2014-02-13,USD,public,free event,20.0,,US
52143155,34629805,2014-01-31,2014-04-18,2014-06-04,USD,public,paid event,145.0,Business & Professional,US
52158795,437690295,2014-01-31,2014-01-31,2014-04-12,CAD,private,free event,110.0,,CA
52198135,237613910,2014-02-01,2014-02-02,2014-02-11,USD,public,paid event,150.0,,US
52207695,438069025,2014-02-01,2014-02-01,2014-02-02,USD,private,free event,20.0,,
52230885,329577915,2014-02-02,2014-02-02,2014-02-22,USD,public,free event,100.0,,US
52266275,111509590,2014-02-03,2014-02-03,2014-03-17,USD,public,paid event,20.0,Business & Professional,US
52274335,215935170,2014-02-03,2014-02-03,2014-05-23,GBP,public,paid event,16.0,,GB
52327975,437428265,2014-02-03,2015-03-31,2015-05-06,USD,public,paid event,10.0,Business & Professional,US
52333065,120687310,2014-02-03,2014-02-03,2014-10-23,USD,public,paid event,27.0,,US
52394715,425392485,2014-02-04,2014-02-11,2014-04-23,USD,public,free event,300.0,,GB
52439835,416222135,2014-02-04,2014-02-04,2014-02-12,USD,public,free event,50.0,Other,US
52458505,439830135,2014-02-04,2014-02-04,2014-02-18,USD,private,free event,40.0,,
52473055,214921030,2014-02-05,2014-02-05,2014-02-18,USD,public,free event,6.0,,US
52481835,311333655,2014-02-05,2014-02-05,2014-03-20,USD,public,free event,100.0,,GB
52493535,38228325,2014-02-05,2014-02-05,2014-04-19,USD,public,paid event,2700.0,Community & Culture,US
52496335,16381315,2014-02-05,2014-02-05,2014-02-13,USD,private,free event,5000.0,,US
52515085,80037435,2014-02-05,2014-02-05,2014-03-25,USD,public,free event,6.0,,US
52525295,412395735,2014-02-05,2014-02-05,2014-03-08,USD,public,free event,80.0,,GR
52526275,426499915,2014-02-06,2014-02-06,2014-04-03,GBP,public,free event,400.0,,GB
52532385,440685035,2014-02-06,2014-02-17,2014-03-07,USD,public,free event,200.0,Music,ES
52553335,440888715,2014-02-06,2014-02-06,2014-03-07,GBP,public,free event,10000.0,,GB
52565555,9704295,2014-02-06,2014-02-06,2014-05-23,GBP,public,paid event,216.0,Other,GB
52590255,2092510,2014-02-06,2014-02-06,2014-02-08,GBP,private,paid event,200.0,,
52595635,102942630,2014-02-07,2014-02-07,2014-02-21,GBP,public,free event,25.0,,GB
52610975,222777105,2014-02-07,2014-02-07,2014-03-27,USD,private,free event,50.0,Business & Professional,US
52645955,442040775,2014-02-08,2014-02-08,2014-02-23,USD,private,free event,14.0,,US
52646115,29163385,2014-02-08,2014-02-19,2014-04-17,GBP,public,paid event,100.0,,GB
52662785,411648025,2014-02-08,2014-02-08,2014-02-23,CAD,public,paid event,5.0,,CA
52672085,247450640,2014-02-09,2014-02-09,2014-02-18,USD,private,free event,40.0,,
52676275,312225485,2014-02-09,2014-02-09,2014-02-19,USD,public,free event,200.0,Other,
52678835,420292785,2014-02-09,2014-02-09,2014-03-15,USD,public,paid event,20.0,,US
52682235,413299985,2014-02-09,2014-02-09,2014-03-08,USD,public,free event,50.0,,US
52687565,258455930,2014-02-09,2014-02-09,2014-02-12,USD,private,free event,1.0,,
52687915,397973815,2014-02-09,2014-02-09,2014-02-21,AUD,public,free event,210.0,,AU
52696745,347021205,2014-02-10,2014-02-10,2014-02-22,EUR,public,free event,150.0,Religion & Spirituality,FR
52700415,26844610,2014-02-10,2014-02-10,2014-03-24,GBP,public,paid event,50.0,,GB
52704745,383694645,2014-02-10,2014-02-10,2014-04-12,HKD,public,paid event,48.0,Travel & Outdoor,HK
52707765,23845735,2014-02-10,2014-02-10,2014-05-29,USD,public,paid event,1150.0,,US
52716335,18382650,2014-02-10,2014-02-10,2014-03-10,USD,public,free event,20.0,Religion & Spirituality,US
52721385,259457800,2014-02-10,2014-02-10,2014-02-13,USD,public,free event,15.0,,US
52781685,247450640,2014-02-11,2014-02-11,2014-02-20,USD,private,free event,20.0,,
52784465,7119895,2014-02-11,2014-02-11,2014-03-18,USD,private,free event,50.0,,US
52793215,60917675,2014-02-11,2014-02-11,2014-02-19,USD,private,free event,999.0,,US
52834545,4597285,2014-02-11,2014-02-11,2014-05-01,USD,public,paid event,200.0,Business & Professional,
52848445,199627270,2014-02-12,2014-02-12,2014-03-04,USD,private,free event,100.0,,US
52861325,78783655,2014-02-12,2014-02-12,2014-03-03,USD,public,free event,135.0,Food & Drink,US
52889425,445036535,2014-02-12,2014-02-12,2014-03-24,USD,private,paid event,175.0,,
52893955,8223740,2014-02-12,2014-02-12,2014-03-19,USD,public,free event,2000.0,Music,US
52900595,135714975,2014-02-12,2014-02-12,2014-07-26,USD,public,paid event,100.0,,
52901735,305906775,2014-02-12,2014-02-12,2014-03-12,USD,public,paid event,30.0,,US
52904295,371561585,2014-02-12,2014-02-13,2014-08-30,USD,public,paid event,312.0,Community & Culture,US
52909895,323102315,2014-02-13,2014-02-13,2014-03-04,USD,public,free event,20.0,Business & Professional,IT
52928245,282207725,2014-02-13,2014-02-13,2014-03-25,USD,public,paid event,100.0,,
52943745,34679945,2014-02-13,2014-02-13,2014-02-28,USD,public,free event,300.0,Business & Professional,US
52949205,27445365,2014-02-13,2014-02-13,2014-03-25,USD,private,free event,40.0,,US
52957375,390831595,2014-02-13,2014-02-13,2014-03-01,USD,public,paid event,5.0,Health & Wellness,US
52959625,445811375,2014-02-13,2014-02-27,2014-03-19,AUD,private,free event,50.0,Community & Culture,AU
52965745,143102445,2014-02-13,2014-02-18,2014-03-12,AUD,public,paid event,40.0,Government & Politics,AU
52991745,186979310,2014-02-14,2014-02-16,2014-05-12,USD,public,paid event,90.0,,US
53016395,211476910,2014-02-15,2014-02-15,2014-06-06,EUR,public,paid event,15.0,Other,FR
53017205,363273475,2014-02-15,2014-02-15,2014-02-25,CAD,public,free event,120.0,,CA
53071385,445984165,2014-02-17,2014-02-17,2014-10-09,GBP,private,free event,500.0,,GB
53085285,447516565,2014-02-17,2014-02-17,2014-02-27,EUR,public,free event,80.0,Business & Professional,IT
53090745,20531180,2014-02-17,2014-02-17,2015-02-07,USD,public,paid event,40.0,Sports & Fitness,US
53097595,90927195,2014-02-17,2014-02-17,2014-03-22,USD,private,free event,25.0,,US
53119235,417472230,2014-02-18,2014-02-18,2014-03-19,AUD,private,free event,21.0,,AU
53130875,447997735,2014-02-18,2014-02-18,2014-04-07,USD,public,paid event,5.0,Religion & Spirituality,ZA
53150615,48235965,2014-02-18,2014-02-18,2014-02-22,USD,public,free event,20.0,Other,US
53166965,199584340,2014-02-18,2014-02-18,2014-05-20,USD,public,paid event,50.0,,US
53170155,279060075,2014-02-18,2014-02-25,2014-02-28,USD,private,paid event,5000.0,,US
53179565,68418285,2014-02-18,2014-02-18,2014-03-18,AUD,private,free event,12.0,Other,AU
53180215,411740,2014-02-18,2014-03-06,2014-08-09,USD,public,paid event,146.0,,US
53187725,426894975,2014-02-18,2014-02-19,2014-03-26,AUD,private,free event,150.0,,AU
53219885,448917695,2014-02-19,2014-02-19,2014-02-27,USD,public,free event,100.0,,US
53222945,40661545,2014-02-19,2014-02-19,2014-03-28,USD,public,paid event,600.0,,CA
53243725,443985985,2014-02-19,2014-02-19,2014-07-21,CAD,public,paid event,32.0,,CA
53247825,449292935,2014-02-19,2014-02-19,2014-02-21,USD,public,paid event,1528.0,,US
53281235,449652965,2014-02-20,2014-02-23,2014-03-08,USD,public,free event,30.0,Community & Culture,ID
53318835,99017900,2014-02-20,2014-02-23,2014-03-11,USD,private,free event,20.0,Travel & Outdoor,US
53336565,168450845,2014-02-21,2014-02-21,2014-11-18,GBP,private,free event,23.0,,
53339425,246324400,2014-02-21,2014-02-21,2014-04-02,GBP,public,paid event,15.0,,
53367155,14653230,2014-02-21,2014-02-21,2014-03-22,USD,public,free event,50.0,,US
53376325,350993825,2014-02-21,2014-02-21,2014-04-17,USD,private,paid event,50.0,Business & Professional,US
53378255,450776035,2014-02-21,2014-02-21,2014-04-22,EUR,public,free event,100000.0,Government & Politics,IT
53408535,201880500,2014-02-23,2014-02-23,2014-03-04,USD,public,free event,350.0,Community & Culture,IL
53413915,451387465,2014-02-23,2014-02-23,2014-03-28,USD,public,paid event,100.0,Music,US
53441245,254850010,2014-02-24,2014-02-25,2014-03-28,USD,public,paid event,274.0,Film & Media & Entertainment,US
53445385,202466520,2014-02-24,2014-02-24,2014-05-15,GBP,public,paid event,2.0,Business & Professional,GB
53524365,140825205,2014-02-25,2014-02-25,2014-03-26,GBP,public,paid event,49.0,,GB
53543295,4556720,2014-02-25,2014-02-26,2014-03-26,USD,public,free event,100.0,Family & Education,US
53559015,317857355,2014-02-25,2014-02-25,2014-04-05,USD,public,paid event,10.0,Sports & Fitness,US
53561405,438741315,2014-02-25,2014-02-25,2014-04-10,CAD,private,free event,6.0,,AT
53574325,298725135,2014-02-25,2014-02-25,2014-03-11,USD,private,free event,40.0,,US
53580975,163110445,2014-02-25,2014-02-25,2014-03-12,AUD,public,free event,30.0,Business & Professional,AU
53604685,102942630,2014-02-26,2014-02-26,2014-03-01,GBP,private,free event,25.0,,GB
53611275,242579910,2014-02-26,2014-02-26,2014-03-31,USD,public,free event,50.0,,US
53627105,420721575,2014-02-26,2014-02-26,2014-05-27,EUR,public,paid event,6.0,Food & Drink,ES
53630705,289161335,2014-02-26,2014-02-28,2014-03-31,USD,public,paid event,20.0,,US
53634935,267317420,2014-02-26,2014-02-28,2014-06-19,USD,public,free event,120.0,Other,US
53650125,454139865,2014-02-26,2014-02-26,2014-03-05,AUD,public,free event,250.0,Business & Professional,
53656505,65391135,2014-02-27,2014-02-27,2014-03-15,USD,public,free event,30.0,Family & Education,DE
53662505,429316065,2014-02-27,2014-02-27,2014-03-17,USD,private,free event,27.0,,UA
53665295,163428015,2014-02-27,2014-02-27,2014-03-08,EUR,public,free event,50.0,Science & Technology,CI
53691445,155365825,2014-02-27,2014-02-27,2014-04-17,USD,private,free event,21.0,,US
53701535,195049450,2014-02-27,2014-03-01,2014-05-17,USD,public,paid event,500.0,Music,US
53703785,452406725,2014-02-27,2014-02-27,2014-03-22,NZD,public,free event,40.0,Family & Education,NZ
53722615,454979315,2014-02-27,2014-02-27,2014-04-02,USD,public,free event,40.0,Business & Professional,BE
53734935,189887340,2014-02-28,2014-03-06,2014-03-29,USD,public,free event,200.0,Religion & Spirituality,US
53760415,83734215,2014-02-28,2014-02-28,2014-03-08,USD,private,paid event,50.0,Film & Media & Entertainment,US
53775855,455635905,2014-02-28,2014-02-28,2014-09-13,USD,public,paid event,100.0,Charity & Causes,US
53777325,149855085,2014-02-28,2014-02-28,2014-03-21,CAD,public,paid event,300.0,,CA
53779015,124530005,2014-02-28,2014-02-28,2014-03-18,CAD,public,paid event,200.0,Community & Culture,CA
53818895,412124065,2014-03-02,2014-03-02,2014-05-12,USD,public,paid event,20.0,Food & Drink,US
